timestamps,TP9,AF7,AF8,TP10,Right AUX
1712565392.679,0,0,-0.488,-0.488,0
1712565392.682,0,0,-2.441,-0.488,0
1712565392.686,-32.227,-32.227,31.738,30.762,0
1712565392.69,69.824,60.059,-68.848,-68.359,0
1712565392.694,-334.473,-328.613,347.168,389.16,0
1712565392.698,-1000,-1000,967.285,938.477,0
1712565392.702,-273.438,-546.387,930.664,-839.355,0
1712565392.706,-804.688,-965.332,916.504,139.648,0
1712565392.709,270.508,366.699,929.199,-206.055,0
1712565392.713,-998.047,-993.164,918.457,-964.844,0
1712565392.717,-1000,-1000,914.551,936.035,0
1712565392.721,-250,-847.656,915.039,-885.254,0
1712565392.724,-829.102,636.719,910.645,-201.172,0
1712565392.727,212.891,463.867,892.09,-563.965,0
1712565392.731,-1000,-1000,869.141,941.895,0
1712565392.735,-1000,-985.84,861.816,-950.195,0
1712565392.739,-517.578,-1000,866.211,802.734,0
1712565392.742,997.559,147.461,850.586,-477.051,0
1712565392.746,216.309,423.34,793.945,-1000,0
1712565392.75,-1000,-1000,731.445,-161.621,0
1712565392.754,-975.586,-972.168,681.152,-826.66,0
1712565392.758,-1000,-1000,664.551,471.68,0
1712565392.761,398.438,-296.387,665.527,-874.512,0
1712565392.765,468.262,226.562,609.863,-1000,0
1712565392.766,-1000,-970.215,490.234,-511.719,0
1712565392.77,-941.406,-1000,422.852,-957.52,0
1712565392.773,-1000,-1000,467.285,223.145,0
1712565392.777,-91.797,-820.312,481.934,-1000,0
1712565392.781,259.766,-639.16,413.086,-905.762,0
1712565392.784,-1000,-1000,292.969,-1000,0
1712565392.788,-941.895,-994.629,224.121,-101.562,0
1712565392.791,-1000,-1000,284.668,250,0
1712565392.795,-87.402,-883.789,287.109,-1000,0
1712565392.799,379.395,-633.789,277.832,-939.453,0
1712565392.802,-1000,-949.707,26.367,-1000,0
1712565392.806,-957.52,-992.188,-316.895,-451.172,0
1712565392.806,-1000,-1000,-305.176,58.105,0
1712565392.809,-206.055,-814.453,-153.32,-1000,0
1712565392.813,995.605,87.402,-74.219,-956.543,0
1712565392.816,-448.242,-479.004,-268.555,-1000,0
1712565392.82,-1000,-1000,-514.16,-363.281,0
1712565392.823,-1000,-1000,-429.688,260.742,0
1712565392.827,-279.297,-700.195,-161.621,-997.07,0
1712565392.831,-831.543,822.266,-110.84,-974.121,0
1712565392.834,44.922,166.016,-428.711,-1000,0
1712565392.838,-1000,-1000,-562.988,-183.105,0
1712565392.841,-1000,-1000,-491.211,804.199,0
1712565392.845,-265.137,-541.992,-423.34,-701.172,0
1712565392.844,-824.707,-996.094,-357.422,-1000,0
1712565392.848,171.875,393.066,-424.805,-1000,0
1712565392.851,-1000,-958.496,-552.246,-296.387,0
1712565392.855,-1000,-1000,-530.762,-821.289,0
1712565392.858,-236.328,-410.156,-458.496,182.129,0
1712565392.862,-943.359,959.961,-330.078,-1000,0
1712565392.865,917.969,904.785,-252.93,-1000,0
1712565392.869,-422.363,-355.957,-459.961,-90.82,0
1712565392.872,-1000,-1000,-566.406,-874.023,0
1712565392.876,66.406,-260.254,-398.926,799.805,0
1712565392.879,-983.887,939.941,-259.766,-737.305,0
1712565392.883,-925.781,-898.438,-367.188,-870.117,0
1712565392.883,222.656,215.332,-543.457,708.984,0
1712565392.887,-1000,-1000,-527.832,984.863,0
1712565392.89,-14.648,-294.922,-447.266,-917.969,0
1712565392.893,-951.172,964.844,-355.469,20.508,0
1712565392.897,-940.43,-909.668,-397.949,-995.117,0
1712565392.9,238.281,245.117,-526.367,515.137,0
1712565392.904,-1000,-1000,-557.617,-942.383,0
1712565392.907,-205.078,-703.613,-523.926,-986.816,0
1712565392.91,-990.723,653.809,-469.238,38.574,0
1712565392.914,-930.176,-842.773,-476.074,-1000,0
1712565392.917,167.969,47.363,-613.281,-221.68,0
1712565392.921,-1000,-1000,-666.992,-912.109,0
1712565392.924,-921.875,-1000,-583.496,859.375,0
1712565392.928,530.762,-57.129,-541.504,-483.887,0
1712565392.931,-963.379,-875.488,-580.566,-1000,0
1712565392.935,-492.188,-168.945,-681.641,-1000,0
1712565392.938,-1000,-1000,-714.355,405.762,0
1712565392.941,-1000,-1000,-624.512,372.559,0
1712565392.945,-181.152,-496.094,-603.027,-1000,0
1712565392.948,987.305,822.754,-616.211,-914.062,0
1712565392.952,-471.68,-231.934,-653.809,-1000,0
1712565392.955,-1000,-1000,-710.938,-332.031,0
1712565392.958,-1000,-1000,-709.961,158.691,0
1712565392.962,-248.047,-786.133,-652.832,-1000,0
1712565392.966,-881.836,456.055,-628.906,-980.469,0
1712565392.969,-213.867,-137.695,-691.895,-1000,0
1712565392.973,-1000,-1000,-769.043,-783.203,0
1712565392.976,-1000,-1000,-707.031,-279.785,0
1712565392.98,-282.715,-833.496,-607.91,-953.125,0
1712565392.983,-829.102,640.137,-580.078,-989.258,0
1712565392.986,96.191,201.172,-660.645,-1000,0
1712565392.99,-1000,-1000,-753.906,-763.672,0
1712565392.993,-1000,-1000,-641.113,164.551,0
1712565392.997,-261.23,-801.27,-563.965,-754.395,0
1712565393,-825.195,723.633,-615.723,-1000,0
1712565393.004,166.992,366.699,-641.602,-1000,0
1712565393.008,-1000,-1000,-711.914,-850.586,0
1712565393.012,-1000,-1000,-702.148,495.117,0
1712565393.015,-354.492,-841.797,-619.141,-333.008,0
1712565393.019,-857.422,627.441,-567.871,-1000,0
1712565393.022,288.574,632.812,-591.309,-1000,0
1712565393.025,-994.629,-840.332,-668.457,-546.875,0
1712565393.029,-1000,-1000,-670.41,987.793,0
1712565393.032,-436.035,-859.863,-561.035,82.031,0
1712565393.036,-961.426,474.121,-504.395,-1000,0
1712565393.039,731.445,975.098,-587.402,-1000,0
1712565393.043,-674.805,-411.621,-683.594,-506.836,0
1712565393.046,-1000,-1000,-657.227,-919.434,0
1712565393.051,-404.297,-868.164,-567.871,278.809,0
1712565393.054,875.488,366.211,-559.082,-1000,0
1712565393.058,-888.672,-833.984,-574.707,-1000,0
1712565393.061,88.867,-1.465,-648.926,-404.785,0
1712565393.065,-1000,-1000,-655.273,-990.723,0
1712565393.068,-441.895,-916.992,-541.992,878.906,0
1712565393.072,888.184,290.527,-519.043,-489.746,0
1712565393.075,-874.512,-791.992,-499.023,-1000,0
1712565393.078,211.914,242.676,-567.871,-208.496,0
1712565393.082,-1000,-1000,-669.434,952.148,0
1712565393.085,-342.285,-933.105,-567.383,-901.855,0
1712565393.089,938.965,301.27,-499.512,184.57,0
1712565393.094,-900.391,-841.797,-527.344,-1000,0
