Subject,Channel,Num_Features,Metric,Value
1,AF7,10,train_acc,0.5813590312833143
1,AF7,10,test_acc,0.5684240193463495
1,AF7,10,f1_score,0.5312045116267308
1,AF8,10,train_acc,0.5800931714375163
1,AF8,10,test_acc,0.5622489242149437
1,AF8,10,f1_score,0.4587102879196105
1,TP9,10,train_acc,0.579042387627544
1,TP9,10,test_acc,0.5317263682919023
1,TP9,10,f1_score,0.5107452926597786
1,TP10,10,train_acc,0.5510269741743371
1,TP10,10,test_acc,0.5194248995341229
1,TP10,10,f1_score,0.4697808995992202
1,Combined,10,train_acc,0.58549725847849
1,Combined,10,test_acc,0.5574731942814466
1,Combined,10,f1_score,0.4720093483399322
1,AF7,20,train_acc,0.6039118813863249
1,AF7,20,test_acc,0.5765494861125929
1,AF7,20,f1_score,0.5763433407075236
1,AF8,20,train_acc,0.5926125241018747
1,AF8,20,test_acc,0.5654713005441161
1,AF8,20,f1_score,0.4532357248838582
1,TP9,20,train_acc,0.5764799791478535
1,TP9,20,test_acc,0.5442771791315482
1,TP9,20,f1_score,0.5258263543840501
1,TP10,20,train_acc,0.5593278947705114
1,TP10,20,test_acc,0.5339179024858636
1,TP10,20,f1_score,0.4695479485216903
1,Combined,20,train_acc,0.5898003125427816
1,Combined,20,test_acc,0.5605154432945694
1,Combined,20,f1_score,0.4857176538432565
1,AF7,30,train_acc,0.6168693583495313
1,AF7,30,test_acc,0.5684778530530958
1,AF7,30,f1_score,0.5745687967986871
1,AF8,30,train_acc,0.5895457529476036
1,AF8,30,test_acc,0.5626844393470607
1,AF8,30,f1_score,0.463322877638533
1,TP9,30,train_acc,0.5658007220087811
1,TP9,30,test_acc,0.5333809879440948
1,TP9,30,f1_score,0.5315649933464902
1,TP10,30,train_acc,0.5761132768057832
1,TP10,30,test_acc,0.523604235570255
1,TP10,30,f1_score,0.4505547237566132
1,Combined,30,train_acc,0.5906219191029065
1,Combined,30,test_acc,0.5570151410078594
1,Combined,30,f1_score,0.4780569141260746
1,AF7,40,train_acc,0.6266123363905172
1,AF7,40,test_acc,0.5796239642234787
1,AF7,40,f1_score,0.5905343098432912
1,AF8,40,train_acc,0.5930972278396255
1,AF8,40,test_acc,0.5601279828585655
1,AF8,40,f1_score,0.4583834559917473
1,TP9,40,train_acc,0.575325984504061
1,TP9,40,test_acc,0.5351505654539636
1,TP9,40,f1_score,0.528712418886229
1,TP10,40,train_acc,0.5915542479058962
1,TP10,40,test_acc,0.5327813044560618
1,TP10,40,f1_score,0.4617907260059747
1,Combined,40,train_acc,0.5993235164928603
1,Combined,40,test_acc,0.5581202212027454
1,Combined,40,f1_score,0.4823919184277973
