channel,band,feature_type,window_shift,subject_id,mean_correlation
AF7,alpha,approx_entropy,win-1,1,-0.0069694474238067
AF7,alpha,approx_entropy,win-2,1,0.0034870071795047
AF7,alpha,approx_entropy,win-3,1,0.0095455060180347
AF7,alpha,approx_entropy,win-4,1,0.0010129909029972
AF7,alpha,approx_entropy,win-5,1,0.008792306078192
AF7,alpha,approx_entropy,win-6,1,0.0158069583894535
AF7,alpha,approx_entropy,win-7,1,0.016619309898439
AF7,alpha,approx_entropy,win-8,1,0.0201834212073822
AF7,alpha,approx_entropy,win-9,1,0.0180518172393767
AF7,alpha,approx_entropy,win0,1,-0.0022009728475159
AF7,alpha,energy,win-1,1,0.1000689113678151
AF7,alpha,energy,win-2,1,0.1094566636834925
AF7,alpha,energy,win-3,1,0.1078011274975832
AF7,alpha,energy,win-4,1,0.0976937046114208
AF7,alpha,energy,win-5,1,0.0941316722545827
AF7,alpha,energy,win-6,1,0.0840858105018168
AF7,alpha,energy,win-7,1,0.0909675758281781
AF7,alpha,energy,win-8,1,0.0856501286512145
AF7,alpha,energy,win-9,1,0.085751188406512
AF7,alpha,energy,win0,1,0.0892886340271088
AF7,alpha,skewness,win-1,1,-0.0322397591109012
AF7,alpha,skewness,win-2,1,-0.0241189619344331
AF7,alpha,skewness,win-3,1,-0.0207206473351518
AF7,alpha,skewness,win-4,1,-0.0202560760928735
AF7,alpha,skewness,win-5,1,-0.0186273450974074
AF7,alpha,skewness,win-6,1,-0.0327679064424303
AF7,alpha,skewness,win-7,1,-0.0211540079900762
AF7,alpha,skewness,win-8,1,-0.0083620543865001
AF7,alpha,skewness,win-9,1,0.021055693682192
AF7,alpha,skewness,win0,1,-0.0186784506197544
AF7,alpha,standard_deviation,win-1,1,0.0936350142616717
AF7,alpha,standard_deviation,win-2,1,0.1051211418518243
AF7,alpha,standard_deviation,win-3,1,0.1038994207801555
AF7,alpha,standard_deviation,win-4,1,0.0934485225655248
AF7,alpha,standard_deviation,win-5,1,0.0895700844625904
AF7,alpha,standard_deviation,win-6,1,0.0815200264351
AF7,alpha,standard_deviation,win-7,1,0.0887483167518678
AF7,alpha,standard_deviation,win-8,1,0.0863565931791318
AF7,alpha,standard_deviation,win-9,1,0.085876428050076
AF7,alpha,standard_deviation,win0,1,0.0832132146034428
AF7,alpha,total_variation,win-1,1,0.1078529867369435
AF7,alpha,total_variation,win-2,1,0.1145253988365265
AF7,alpha,total_variation,win-3,1,0.1132540018961476
AF7,alpha,total_variation,win-4,1,0.0967824146529513
AF7,alpha,total_variation,win-5,1,0.088894720659183
AF7,alpha,total_variation,win-6,1,0.0793985615404653
AF7,alpha,total_variation,win-7,1,0.0844081618828007
AF7,alpha,total_variation,win-8,1,0.081742011909015
AF7,alpha,total_variation,win-9,1,0.0818166510240215
AF7,alpha,total_variation,win0,1,0.1005133554255741
AF7,beta,approx_entropy,win-1,1,0.0038757463457144
AF7,beta,approx_entropy,win-2,1,0.001391354557825
AF7,beta,approx_entropy,win-3,1,0.0062651938450354
AF7,beta,approx_entropy,win-4,1,0.0095095057786183
AF7,beta,approx_entropy,win-5,1,0.0084672119146857
AF7,beta,approx_entropy,win-6,1,0.0252570246282754
AF7,beta,approx_entropy,win-7,1,0.033276763310203
AF7,beta,approx_entropy,win-8,1,0.0271885560905924
AF7,beta,approx_entropy,win-9,1,0.0260909483505482
AF7,beta,approx_entropy,win0,1,-0.0089689929623023
AF7,beta,energy,win-1,1,-0.0046661824381925
AF7,beta,energy,win-2,1,-0.0035904189941239
AF7,beta,energy,win-3,1,-0.0006787243387534
AF7,beta,energy,win-4,1,0.0080817277372376
AF7,beta,energy,win-5,1,0.0251639090585666
AF7,beta,energy,win-6,1,0.028249563408369
AF7,beta,energy,win-7,1,0.0290856177716624
AF7,beta,energy,win-8,1,0.0447044054301718
AF7,beta,energy,win-9,1,0.0359580530556209
AF7,beta,energy,win0,1,-0.0070753544907814
AF7,beta,skewness,win-1,1,0.0027343552782488
AF7,beta,skewness,win-2,1,-0.0272882974060943
AF7,beta,skewness,win-3,1,-0.0284788100755552
AF7,beta,skewness,win-4,1,-0.0267472326555294
AF7,beta,skewness,win-5,1,-0.0249653301515689
AF7,beta,skewness,win-6,1,-0.0316696067064581
AF7,beta,skewness,win-7,1,-0.0243284728165415
AF7,beta,skewness,win-8,1,-0.0180704103368433
AF7,beta,skewness,win-9,1,-0.0128232630964391
AF7,beta,skewness,win0,1,0.0133837717748243
AF7,beta,standard_deviation,win-1,1,0.001272542027715
AF7,beta,standard_deviation,win-2,1,0.0023364978437005
AF7,beta,standard_deviation,win-3,1,0.0077339515087327
AF7,beta,standard_deviation,win-4,1,0.0169540007107367
AF7,beta,standard_deviation,win-5,1,0.0342317298764023
AF7,beta,standard_deviation,win-6,1,0.0369264126852821
AF7,beta,standard_deviation,win-7,1,0.0396685965983998
AF7,beta,standard_deviation,win-8,1,0.0544099913555862
AF7,beta,standard_deviation,win-9,1,0.0470450598874951
AF7,beta,standard_deviation,win0,1,-0.0024890516458598
AF7,beta,total_variation,win-1,1,0.0029691846357395
AF7,beta,total_variation,win-2,1,0.0047430838875787
AF7,beta,total_variation,win-3,1,0.0126637175068642
AF7,beta,total_variation,win-4,1,0.0212951008447401
AF7,beta,total_variation,win-5,1,0.044826814933939
AF7,beta,total_variation,win-6,1,0.0489973615086027
AF7,beta,total_variation,win-7,1,0.0562719351699042
AF7,beta,total_variation,win-8,1,0.0551672890826343
AF7,beta,total_variation,win-9,1,0.0453718710484681
AF7,beta,total_variation,win0,1,0.002201941717533
AF7,delta,approx_entropy,win-1,1,0.020328481654608
AF7,delta,approx_entropy,win-2,1,0.0302481321819157
AF7,delta,approx_entropy,win-3,1,0.042622495113536
AF7,delta,approx_entropy,win-4,1,0.0382822619132152
AF7,delta,approx_entropy,win-5,1,0.0344922180948149
AF7,delta,approx_entropy,win-6,1,0.0277949140543639
AF7,delta,approx_entropy,win-7,1,0.0234378257240269
AF7,delta,approx_entropy,win-8,1,0.0207477895661457
AF7,delta,approx_entropy,win-9,1,0.019205439272325
AF7,delta,approx_entropy,win0,1,0.0168539291376685
AF7,delta,energy,win-1,1,0.0990894536170509
AF7,delta,energy,win-2,1,0.0965797575758652
AF7,delta,energy,win-3,1,0.0893042680894693
AF7,delta,energy,win-4,1,0.080770062670601
AF7,delta,energy,win-5,1,0.0790655620053208
AF7,delta,energy,win-6,1,0.0826134926046478
AF7,delta,energy,win-7,1,0.0849444085126324
AF7,delta,energy,win-8,1,0.0907175719337666
AF7,delta,energy,win-9,1,0.1002015699777494
AF7,delta,energy,win0,1,0.0946861034290754
AF7,delta,skewness,win-1,1,-0.07120511784504
AF7,delta,skewness,win-2,1,-0.0555463815344445
AF7,delta,skewness,win-3,1,-0.0553288275743954
AF7,delta,skewness,win-4,1,-0.0507027852545005
AF7,delta,skewness,win-5,1,-0.0525565705066463
AF7,delta,skewness,win-6,1,-0.0413144090127105
AF7,delta,skewness,win-7,1,-0.0280911146568423
AF7,delta,skewness,win-8,1,-0.0182265320951864
AF7,delta,skewness,win-9,1,-0.0100011817636493
AF7,delta,skewness,win0,1,-0.0677767779526575
AF7,delta,standard_deviation,win-1,1,0.0951825679908502
AF7,delta,standard_deviation,win-2,1,0.0935401306250919
AF7,delta,standard_deviation,win-3,1,0.0878061623137538
AF7,delta,standard_deviation,win-4,1,0.0809251427349003
AF7,delta,standard_deviation,win-5,1,0.0790112281561176
AF7,delta,standard_deviation,win-6,1,0.0818063858202001
AF7,delta,standard_deviation,win-7,1,0.0835554801745585
AF7,delta,standard_deviation,win-8,1,0.0892498799619168
AF7,delta,standard_deviation,win-9,1,0.0966593233712735
AF7,delta,standard_deviation,win0,1,0.0910603278666631
AF7,delta,total_variation,win-1,1,0.0942408389846868
AF7,delta,total_variation,win-2,1,0.0922892157964031
AF7,delta,total_variation,win-3,1,0.0875157153989958
AF7,delta,total_variation,win-4,1,0.0839740580223757
AF7,delta,total_variation,win-5,1,0.0836929767655145
AF7,delta,total_variation,win-6,1,0.0872499366883996
AF7,delta,total_variation,win-7,1,0.0890019496137334
AF7,delta,total_variation,win-8,1,0.0957120505889345
AF7,delta,total_variation,win-9,1,0.1015504012210784
AF7,delta,total_variation,win0,1,0.0900758591523588
AF7,gamma,approx_entropy,win-1,1,0.0047421289648178
AF7,gamma,approx_entropy,win-2,1,-0.0179263008791544
AF7,gamma,approx_entropy,win-3,1,-2.294923232906129e-05
AF7,gamma,approx_entropy,win-4,1,0.0072894040929727
AF7,gamma,approx_entropy,win-5,1,0.0054921937529867
AF7,gamma,approx_entropy,win-6,1,0.0219342492296876
AF7,gamma,approx_entropy,win-7,1,0.0432518458259625
AF7,gamma,approx_entropy,win-8,1,0.0283955988403559
AF7,gamma,approx_entropy,win-9,1,0.0391533212900113
AF7,gamma,approx_entropy,win0,1,0.0004679546237323
AF7,gamma,energy,win-1,1,-0.038698980928733
AF7,gamma,energy,win-2,1,-0.0306977319818413
AF7,gamma,energy,win-3,1,-0.0398351578956733
AF7,gamma,energy,win-4,1,-0.0228602888762614
AF7,gamma,energy,win-5,1,-0.01625601657513
AF7,gamma,energy,win-6,1,-0.0173861747863921
AF7,gamma,energy,win-7,1,-0.0063829642950323
AF7,gamma,energy,win-8,1,0.0047263091287941
AF7,gamma,energy,win-9,1,0.0087041305305684
AF7,gamma,energy,win0,1,-0.0644799277467281
AF7,gamma,skewness,win-1,1,-0.0056667643268087
AF7,gamma,skewness,win-2,1,-0.0231334514660619
AF7,gamma,skewness,win-3,1,-0.0094137114023117
AF7,gamma,skewness,win-4,1,0.0060511652636509
AF7,gamma,skewness,win-5,1,-0.0138671830880029
AF7,gamma,skewness,win-6,1,-0.0232634357320517
AF7,gamma,skewness,win-7,1,-0.023373804703967
AF7,gamma,skewness,win-8,1,-0.0177396788268077
AF7,gamma,skewness,win-9,1,-0.0195622971126561
AF7,gamma,skewness,win0,1,-0.0069708705220207
AF7,gamma,standard_deviation,win-1,1,-0.0350330494630651
AF7,gamma,standard_deviation,win-2,1,-0.0265024789410527
AF7,gamma,standard_deviation,win-3,1,-0.0354796784668877
AF7,gamma,standard_deviation,win-4,1,-0.0161398166524538
AF7,gamma,standard_deviation,win-5,1,-0.0093886948816097
AF7,gamma,standard_deviation,win-6,1,-0.0111045001547005
AF7,gamma,standard_deviation,win-7,1,0.0029496495679345
AF7,gamma,standard_deviation,win-8,1,0.012440817810927
AF7,gamma,standard_deviation,win-9,1,0.0147626650646641
AF7,gamma,standard_deviation,win0,1,-0.0616033276937568
AF7,gamma,total_variation,win-1,1,-0.0340301290621616
AF7,gamma,total_variation,win-2,1,-0.0293133875592345
AF7,gamma,total_variation,win-3,1,-0.0348484541596077
AF7,gamma,total_variation,win-4,1,-0.0171665665022356
AF7,gamma,total_variation,win-5,1,-0.0107420598616842
AF7,gamma,total_variation,win-6,1,-0.0024175477333402
AF7,gamma,total_variation,win-7,1,0.0152978053483773
AF7,gamma,total_variation,win-8,1,0.0157629556015923
AF7,gamma,total_variation,win-9,1,0.0184271615537022
AF7,gamma,total_variation,win0,1,-0.0655910685705113
AF7,theta,approx_entropy,win-1,1,-0.0096376117136354
AF7,theta,approx_entropy,win-2,1,0.0025725532746018
AF7,theta,approx_entropy,win-3,1,0.0034622811191605
AF7,theta,approx_entropy,win-4,1,0.0190327258612051
AF7,theta,approx_entropy,win-5,1,0.0233045064422686
AF7,theta,approx_entropy,win-6,1,0.0192682586624036
AF7,theta,approx_entropy,win-7,1,0.0179594977689317
AF7,theta,approx_entropy,win-8,1,0.0190937971500803
AF7,theta,approx_entropy,win-9,1,0.0163650257090264
AF7,theta,approx_entropy,win0,1,-0.0245321601466874
AF7,theta,energy,win-1,1,0.0979771690374263
AF7,theta,energy,win-2,1,0.0942299533324535
AF7,theta,energy,win-3,1,0.0898649601977797
AF7,theta,energy,win-4,1,0.0784308090475136
AF7,theta,energy,win-5,1,0.0745129465109793
AF7,theta,energy,win-6,1,0.0816295925569399
AF7,theta,energy,win-7,1,0.0840965760976066
AF7,theta,energy,win-8,1,0.0937333557755916
AF7,theta,energy,win-9,1,0.0985751699122956
AF7,theta,energy,win0,1,0.1033870314939059
AF7,theta,skewness,win-1,1,-0.002863175241307
AF7,theta,skewness,win-2,1,-0.0114577070243338
AF7,theta,skewness,win-3,1,-0.0092714349256287
AF7,theta,skewness,win-4,1,-0.0035626419626931
AF7,theta,skewness,win-5,1,0.0038287642131574
AF7,theta,skewness,win-6,1,0.0008351676133467
AF7,theta,skewness,win-7,1,-0.0120902306309065
AF7,theta,skewness,win-8,1,0.0064800054424802
AF7,theta,skewness,win-9,1,-0.0199874953708865
AF7,theta,skewness,win0,1,-0.0020215107890854
AF7,theta,standard_deviation,win-1,1,0.0941794821195367
AF7,theta,standard_deviation,win-2,1,0.0909325046275673
