channel,band,feature_type,window_shift,subject_id,mean_correlation
AF7,alpha,approx_entropy,win-1,10,0.01702862683561468
AF7,alpha,approx_entropy,win-2,10,0.02292204343428943
AF7,alpha,approx_entropy,win-3,10,0.032379176210173735
AF7,alpha,approx_entropy,win-4,10,0.04189651560375721
AF7,alpha,approx_entropy,win-5,10,0.04159195548137064
AF7,alpha,approx_entropy,win-6,10,0.05268979924846948
AF7,alpha,approx_entropy,win-7,10,0.060856109922166016
AF7,alpha,approx_entropy,win-8,10,0.06463128627956323
AF7,alpha,approx_entropy,win-9,10,0.06712000824099917
AF7,alpha,approx_entropy,win0,10,-0.01193700743538649
AF7,alpha,energy,win-1,10,-0.12840615038883324
AF7,alpha,energy,win-2,10,-0.1301954500050135
AF7,alpha,energy,win-3,10,-0.13096393818384117
AF7,alpha,energy,win-4,10,-0.13328482701329064
AF7,alpha,energy,win-5,10,-0.13009344179892163
AF7,alpha,energy,win-6,10,-0.1316790477566282
AF7,alpha,energy,win-7,10,-0.1338792907890232
AF7,alpha,energy,win-8,10,-0.1343617846315364
AF7,alpha,energy,win-9,10,-0.13637477246577706
AF7,alpha,energy,win0,10,-0.1247016785335802
AF7,alpha,skewness,win-1,10,0.03940584521795056
AF7,alpha,skewness,win-2,10,0.00818206634000054
AF7,alpha,skewness,win-3,10,0.025694595389855353
AF7,alpha,skewness,win-4,10,0.026032051239544763
AF7,alpha,skewness,win-5,10,0.020148818852001336
AF7,alpha,skewness,win-6,10,0.03824732570245699
AF7,alpha,skewness,win-7,10,0.03188322617623039
AF7,alpha,skewness,win-8,10,0.04159596804551507
AF7,alpha,skewness,win-9,10,0.042443644422238115
AF7,alpha,skewness,win0,10,0.0413159196592988
AF7,alpha,standard_deviation,win-1,10,-0.1277838054299223
AF7,alpha,standard_deviation,win-2,10,-0.12953086013801066
AF7,alpha,standard_deviation,win-3,10,-0.1304360499359478
AF7,alpha,standard_deviation,win-4,10,-0.13249714687741046
AF7,alpha,standard_deviation,win-5,10,-0.13097337930749817
AF7,alpha,standard_deviation,win-6,10,-0.13188462312791777
AF7,alpha,standard_deviation,win-7,10,-0.13372614736513028
AF7,alpha,standard_deviation,win-8,10,-0.1347058940275974
AF7,alpha,standard_deviation,win-9,10,-0.13588351226476758
AF7,alpha,standard_deviation,win0,10,-0.12544332098422303
AF7,alpha,total_variation,win-1,10,-0.1281689842596616
AF7,alpha,total_variation,win-2,10,-0.13009895590894266
AF7,alpha,total_variation,win-3,10,-0.13130280725652313
AF7,alpha,total_variation,win-4,10,-0.13319003535536159
AF7,alpha,total_variation,win-5,10,-0.13211630179567843
AF7,alpha,total_variation,win-6,10,-0.13274848389605398
AF7,alpha,total_variation,win-7,10,-0.13420809273483522
AF7,alpha,total_variation,win-8,10,-0.13660841485454364
AF7,alpha,total_variation,win-9,10,-0.13863648014794
AF7,alpha,total_variation,win0,10,-0.12540426597493218
AF7,beta,approx_entropy,win-1,10,0.06123077694741464
AF7,beta,approx_entropy,win-2,10,0.05066480331447147
AF7,beta,approx_entropy,win-3,10,0.07222307631879882
AF7,beta,approx_entropy,win-4,10,0.07565158818507037
AF7,beta,approx_entropy,win-5,10,0.07537590904896381
AF7,beta,approx_entropy,win-6,10,0.07950548559952711
AF7,beta,approx_entropy,win-7,10,0.0771400838734362
AF7,beta,approx_entropy,win-8,10,0.07779686174605988
AF7,beta,approx_entropy,win-9,10,0.08459568714388566
AF7,beta,approx_entropy,win0,10,0.04907799857046087
AF7,beta,energy,win-1,10,-0.107045097283286
AF7,beta,energy,win-2,10,-0.09595383001348376
AF7,beta,energy,win-3,10,-0.09573258723471419
AF7,beta,energy,win-4,10,-0.09024588779078585
AF7,beta,energy,win-5,10,-0.10046321543054933
AF7,beta,energy,win-6,10,-0.09450837484933791
AF7,beta,energy,win-7,10,-0.09720183276502532
AF7,beta,energy,win-8,10,-0.1027219891473269
AF7,beta,energy,win-9,10,-0.09490400249103866
AF7,beta,energy,win0,10,-0.10740566292343683
AF7,beta,skewness,win-1,10,0.01592562452854174
AF7,beta,skewness,win-2,10,-0.0019406709496117068
AF7,beta,skewness,win-3,10,-0.001111042412584945
AF7,beta,skewness,win-4,10,-0.006815681616210355
AF7,beta,skewness,win-5,10,-0.0025249049596856366
AF7,beta,skewness,win-6,10,0.0008953420361458438
AF7,beta,skewness,win-7,10,-0.014833439215655487
AF7,beta,skewness,win-8,10,-0.018754571122768446
AF7,beta,skewness,win-9,10,-0.029667955137556986
AF7,beta,skewness,win0,10,0.024054894664388798
AF7,beta,standard_deviation,win-1,10,-0.11965262261609746
AF7,beta,standard_deviation,win-2,10,-0.11175940952332541
AF7,beta,standard_deviation,win-3,10,-0.11061971427630278
AF7,beta,standard_deviation,win-4,10,-0.10801145580758167
AF7,beta,standard_deviation,win-5,10,-0.11318329578878242
AF7,beta,standard_deviation,win-6,10,-0.1090380601287584
AF7,beta,standard_deviation,win-7,10,-0.11095653467009038
AF7,beta,standard_deviation,win-8,10,-0.11426446782595934
AF7,beta,standard_deviation,win-9,10,-0.10892328893816444
AF7,beta,standard_deviation,win0,10,-0.11949374264043774
AF7,beta,total_variation,win-1,10,-0.1213120753110703
AF7,beta,total_variation,win-2,10,-0.11350918520263797
AF7,beta,total_variation,win-3,10,-0.11166798008564337
AF7,beta,total_variation,win-4,10,-0.11080164794333883
AF7,beta,total_variation,win-5,10,-0.1156301038698896
AF7,beta,total_variation,win-6,10,-0.11182890893512032
AF7,beta,total_variation,win-7,10,-0.11284248939821089
AF7,beta,total_variation,win-8,10,-0.11482658320756924
AF7,beta,total_variation,win-9,10,-0.10861533879398523
AF7,beta,total_variation,win0,10,-0.1214826853079893
AF7,delta,approx_entropy,win-1,10,0.029016998315248354
AF7,delta,approx_entropy,win-2,10,0.04446774138849425
AF7,delta,approx_entropy,win-3,10,0.05411537381378595
AF7,delta,approx_entropy,win-4,10,0.07096728160036189
AF7,delta,approx_entropy,win-5,10,0.08535166059853387
AF7,delta,approx_entropy,win-6,10,0.08361513931616142
AF7,delta,approx_entropy,win-7,10,0.09914504153768192
AF7,delta,approx_entropy,win-8,10,0.1108154452390936
AF7,delta,approx_entropy,win-9,10,0.12052054241425815
AF7,delta,approx_entropy,win0,10,0.02442968849622337
AF7,delta,energy,win-1,10,-0.16726017739346255
AF7,delta,energy,win-2,10,-0.1660686554339115
AF7,delta,energy,win-3,10,-0.17036760341741838
AF7,delta,energy,win-4,10,-0.1736526200667743
AF7,delta,energy,win-5,10,-0.17818408280933823
AF7,delta,energy,win-6,10,-0.18088219992517232
AF7,delta,energy,win-7,10,-0.18315816661998316
AF7,delta,energy,win-8,10,-0.18530580871883165
AF7,delta,energy,win-9,10,-0.18630707088402004
AF7,delta,energy,win0,10,-0.16550519278389533
AF7,delta,skewness,win-1,10,0.04956740548399544
AF7,delta,skewness,win-2,10,0.06588630366710359
AF7,delta,skewness,win-3,10,0.06265071346912396
AF7,delta,skewness,win-4,10,0.074727840244209
AF7,delta,skewness,win-5,10,0.05283270889243313
AF7,delta,skewness,win-6,10,0.06502883684871094
AF7,delta,skewness,win-7,10,0.04512261822908487
AF7,delta,skewness,win-8,10,0.0626010339171533
AF7,delta,skewness,win-9,10,0.056963753050344804
AF7,delta,skewness,win0,10,0.06488442415311046
AF7,delta,standard_deviation,win-1,10,-0.1488861292893937
