Subject,Channel,Num_Features,Metric,Value
10,AF7,10,train_acc,0.6113052252439843
10,AF7,10,test_acc,0.6021081081081081
10,AF7,10,f1_score,0.634227540105192
10,AF8,10,train_acc,0.648930278849896
10,AF8,10,test_acc,0.6319459459459459
10,AF8,10,f1_score,0.6884840954189146
10,TP9,10,train_acc,0.62165534807279
10,TP9,10,test_acc,0.6118288288288288
10,TP9,10,f1_score,0.6581844954973906
10,TP10,10,train_acc,0.6126415605083699
10,TP10,10,test_acc,0.599126126126126
10,TP10,10,f1_score,0.6978191042924088
10,Combined,10,train_acc,0.622358551041504
10,Combined,10,test_acc,0.5991711711711711
10,Combined,10,f1_score,0.6539101701273805
10,AF7,20,train_acc,0.6141176479337245
10,AF7,20,test_acc,0.6034504504504505
10,AF7,20,f1_score,0.6404572215588903
10,AF8,20,train_acc,0.6540429367859258
10,AF8,20,test_acc,0.6324684684684685
10,AF8,20,f1_score,0.6880176036697943
10,TP9,20,train_acc,0.6295196835949798
10,TP9,20,test_acc,0.6020360360360361
10,TP9,20,f1_score,0.6389480131803958
10,TP10,20,train_acc,0.6138453422969855
10,TP10,20,test_acc,0.6017927927927927
10,TP10,20,f1_score,0.6999226620337297
10,Combined,20,train_acc,0.6313651374418392
10,Combined,20,test_acc,0.6051351351351351
10,Combined,20,f1_score,0.6580295911942989
10,AF7,30,train_acc,0.614249646139011
10,AF7,30,test_acc,0.598036036036036
10,AF7,30,f1_score,0.6310314527646731
10,AF8,30,train_acc,0.659949175398543
10,AF8,30,test_acc,0.6323963963963963
10,AF8,30,f1_score,0.6934054175343813
10,TP9,30,train_acc,0.6245445393857816
10,TP9,30,test_acc,0.6193873873873874
10,TP9,30,f1_score,0.6546510400132043
10,TP10,30,train_acc,0.6142187914438768
10,TP10,30,test_acc,0.6043783783783784
10,TP10,30,f1_score,0.7015739983037298
10,Combined,30,train_acc,0.6340040257110064
10,Combined,30,test_acc,0.6171531531531531
10,Combined,30,f1_score,0.6650574684539436
10,AF7,40,train_acc,0.6199347036615626
10,AF7,40,test_acc,0.6034954954954955
10,AF7,40,f1_score,0.641108819525775
10,AF8,40,train_acc,0.6567643248629795
10,AF8,40,test_acc,0.6377837837837838
10,AF8,40,f1_score,0.6954098679850218
10,TP9,40,train_acc,0.6281734129551545
10,TP9,40,test_acc,0.6133423423423423
10,TP9,40,f1_score,0.649870753746951
10,TP10,40,train_acc,0.614376686572122
10,TP10,40,test_acc,0.6043873873873874
10,TP10,40,f1_score,0.7007698165910946
10,Combined,40,train_acc,0.6455760435490708
10,Combined,40,test_acc,0.6219189189189189
10,Combined,40,f1_score,0.669623289963124
10,AF7,50,train_acc,0.6282622339225645
10,AF7,50,test_acc,0.6052612612612612
10,AF7,50,f1_score,0.6407586054644951
10,AF8,50,train_acc,0.6561075167262839
10,AF8,50,test_acc,0.6292342342342343
10,AF8,50,f1_score,0.6867180358134233
10,TP9,50,train_acc,0.6302955699826726
10,TP9,50,test_acc,0.6174954954954954
10,TP9,50,f1_score,0.6539672028736326
10,TP10,50,train_acc,0.6154921134239117
10,TP10,50,test_acc,0.6078558558558559
10,TP10,50,f1_score,0.7024238104780508
10,Combined,50,train_acc,0.6549436648347698
10,Combined,50,test_acc,0.6271621621621621
10,Combined,50,f1_score,0.674299491033576
10,AF7,60,train_acc,0.6338261978597297
10,AF7,60,test_acc,0.6166936936936938
10,AF7,60,f1_score,0.653440826684694
10,AF8,60,train_acc,0.659439516418902
10,AF8,60,test_acc,0.6292342342342343
10,AF8,60,f1_score,0.6879907657412444
10,TP9,60,train_acc,0.6437698131167778
10,TP9,60,test_acc,0.617990990990991
10,TP9,60,f1_score,0.6590428118255075
10,TP10,60,train_acc,0.6153646466223937
10,TP10,60,test_acc,0.6084774774774774
10,TP10,60,f1_score,0.7022065733473716
10,Combined,60,train_acc,0.6606614064703885
10,Combined,60,test_acc,0.631846846846847
10,Combined,60,f1_score,0.6809215407264874
