timestamps,TP9,AF7,AF8,TP10,Right AUX
1712217076.480,0.000,0.000,0.000,0.000,0.000
1712217076.484,-0.488,0.000,-0.488,0.000,0.000
1712217076.487,-2.441,-0.977,0.000,-3.906,0.000
1712217076.491,3.418,0.977,-1.953,6.348,0.000
1712217076.495,-25.879,-3.906,-3.418,-37.598,0.000
1712217076.499,-97.168,-11.230,-29.785,-131.348,0.000
1712217076.503,-101.562,-9.766,-55.664,-120.605,0.000
1712217076.507,-66.895,-9.277,-55.664,-108.398,0.000
1712217076.511,-76.660,-0.488,-67.871,-137.695,0.000
1712217076.515,-103.516,-8.789,-62.500,-129.883,0.000
1712217076.518,-103.516,-14.648,-51.758,-127.930,0.000
1712217076.522,-96.680,-15.137,-52.246,-137.207,0.000
1712217076.525,-87.402,-24.902,-58.594,-135.254,0.000
1712217076.529,-74.219,-30.762,-56.641,-109.863,0.000
1712217076.532,-69.824,-19.043,-57.617,-107.422,0.000
1712217076.536,-64.453,-12.695,-49.316,-104.492,0.000
1712217076.540,-62.988,-2.441,-39.551,-86.914,0.000
1712217076.544,-73.242,-12.207,-42.480,-80.566,0.000
1712217076.548,-69.336,-23.926,-44.922,-88.379,0.000
1712217076.551,-65.430,-27.832,-40.039,-75.195,0.000
1712217076.555,-62.988,-37.109,-30.762,-58.594,0.000
1712217076.559,-51.758,-37.598,-36.133,-74.707,0.000
1712217076.563,-55.176,-35.645,-42.969,-71.777,0.000
1712217076.566,-43.945,-27.344,-42.969,-66.895,0.000
1712217076.567,-40.039,-36.133,-35.645,-58.594,0.000
1712217076.571,-40.039,-41.992,-37.598,-60.547,0.000
1712217076.575,-38.086,-38.086,-43.457,-58.105,0.000
1712217076.578,-41.992,-31.738,-45.410,-63.965,0.000
1712217076.582,-32.227,-28.320,-46.875,-66.895,0.000
1712217076.585,-39.062,-36.621,-43.945,-56.152,0.000
1712217076.589,-49.805,-31.250,-49.316,-70.801,0.000
1712217076.593,-60.059,-38.086,-41.992,-53.223,0.000
1712217076.596,-60.059,-39.551,-41.504,-46.875,0.000
1712217076.600,-47.852,-34.668,-46.875,-58.594,0.000
1712217076.604,-29.785,-42.480,-46.875,-61.035,0.000
1712217076.607,-40.527,-42.480,-41.992,-59.570,0.000
1712217076.607,-65.918,-38.086,-41.504,-47.852,0.000
1712217076.611,-61.035,-41.992,-37.109,-36.133,0.000
1712217076.614,-49.805,-20.508,-39.062,-44.434,0.000
1712217076.618,-27.344,-23.438,-40.527,-63.965,0.000
1712217076.621,-15.137,-46.387,-22.949,-43.457,0.000
1712217076.625,-42.480,-36.133,-24.414,-41.016,0.000
1712217076.628,-47.363,-41.016,-28.809,-50.293,0.000
1712217076.632,-30.273,-37.598,-30.762,-37.598,0.000
1712217076.635,-39.551,-30.762,-29.297,-49.805,0.000
1712217076.639,-62.012,-45.410,-22.461,-59.570,0.000
1712217076.642,-43.457,-51.758,-31.250,-54.688,0.000
1712217076.646,-15.625,-42.969,-29.297,-41.016,0.000
1712217076.646,-65.430,-23.438,-29.297,-59.082,0.000
1712217076.649,-53.223,-25.391,-26.367,-50.293,0.000
1712217076.653,-12.695,-33.691,-24.414,-31.738,0.000
1712217076.656,-41.016,-33.203,-27.344,-38.086,0.000
1712217076.660,-47.852,-29.785,-27.832,-56.152,0.000
1712217076.663,-27.832,-28.320,-38.574,-53.223,0.000
1712217076.667,-21.484,-53.223,-32.715,-17.578,0.000
1712217076.670,-30.762,-42.969,-33.203,-59.570,0.000
1712217076.673,-34.668,-51.270,-32.227,-61.523,0.000
1712217076.677,-21.484,-59.082,-28.809,-33.691,0.000
1712217076.680,-25.391,-43.457,-33.691,-45.410,0.000
1712217076.684,-62.012,-46.875,-34.180,-49.805,0.000
1712217076.684,-64.941,-34.668,-37.109,-62.988,0.000
1712217076.688,-27.832,-48.828,-30.273,-32.715,0.000
1712217076.691,-41.992,-72.266,-32.227,-50.781,0.000
1712217076.695,-55.664,-59.570,-39.062,-60.059,0.000
1712217076.698,-38.574,-50.293,-36.133,-45.898,0.000
1712217076.702,-19.043,-52.246,-29.297,-47.852,0.000
1712217076.705,-31.738,-56.152,-24.902,-42.969,0.000
1712217076.708,-30.762,-43.945,-20.020,-52.734,0.000
1712217076.712,-24.414,-38.574,-19.043,-47.852,0.000
1712217076.715,-26.855,-52.246,-23.438,-32.715,0.000
1712217076.719,-17.090,-48.828,-28.809,-23.926,0.000
1712217076.722,-37.598,-46.875,-29.297,-36.133,0.000
1712217076.726,-54.199,-49.316,-34.180,-46.387,0.000
1712217076.729,-45.410,-46.875,-39.062,-52.246,0.000
1712217076.732,-23.926,-36.133,-41.016,-46.387,0.000
1712217076.736,-6.836,-43.945,-42.969,-39.062,0.000
1712217076.739,-25.391,-55.664,-40.527,-53.223,0.000
1712217076.743,-45.410,-59.570,-40.527,-64.453,0.000
1712217076.746,-48.828,-54.199,-36.133,-55.176,0.000
1712217076.750,-25.879,-41.016,-32.715,-38.086,0.000
1712217076.753,-14.160,-16.113,-42.480,-42.480,0.000
1712217076.756,-35.645,-17.578,-40.039,-54.688,0.000
1712217076.760,-22.949,-37.598,-33.203,-38.574,0.000
1712217076.763,-27.832,-39.062,-33.691,-31.738,0.000
1712217076.767,-40.527,-47.852,-27.344,-27.832,0.000
1712217076.771,-8.301,-40.039,-25.879,-35.645,0.000
1712217076.774,-12.695,-41.016,-31.250,-54.199,0.000
1712217076.778,-60.547,-37.598,-28.320,-44.922,0.000
1712217076.781,-47.363,-31.250,-23.926,-17.090,0.000
1712217076.784,-19.043,-39.551,-30.273,-24.414,0.000
1712217076.788,-39.062,-41.992,-41.992,-53.711,0.000
1712217076.791,-45.410,-40.527,-45.410,-48.340,0.000
1712217076.795,-26.367,-41.992,-41.992,-35.645,0.000
1712217076.798,-46.387,-31.738,-40.527,-51.270,0.000
1712217076.802,-47.363,-19.043,-35.645,-39.062,0.000
1712217076.805,-41.504,-21.484,-40.527,-59.082,0.000
1712217076.810,-46.387,-39.551,-36.621,-69.336,0.000
1712217076.813,-42.480,-22.461,-40.039,-41.504,0.000
1712217076.816,-49.805,-21.973,-48.340,-56.641,0.000
1712217076.820,-41.992,-30.762,-50.781,-72.266,0.000
1712217076.823,-13.184,-26.367,-47.852,-45.410,0.000
1712217076.827,-23.438,-36.621,-45.410,-39.551,0.000
